recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,history_discount,history_bogo,recency_history,recency_bin_0,recency_bin_1,recency_bin_2,treatment
7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,29.99,0.0,209.92999999999998,0.0,1.0,0.0,1
2,613.42,1,1,Urban,1,Web,No Offer,0,613.42,613.42,1226.84,1.0,0.0,0.0,0
12,239.61,0,1,Urban,1,Web,No Offer,0,0.0,239.61,2875.32,0.0,0.0,1.0,0
8,462.43,1,1,Surburban,0,Web,Buy One Get One,0,462.43,462.43,3699.44,0.0,0.0,1.0,1
3,687.51,1,0,Urban,1,Phone,Buy One Get One,0,687.51,0.0,2062.5299999999997,0.0,1.0,0.0,1
2,147.0,0,1,Rural,1,Phone,Buy One Get One,0,0.0,147.0,294.0,1.0,0.0,0.0,1
1,335.64,1,1,Urban,1,Phone,Buy One Get One,1,335.64,335.64,335.64,1.0,0.0,0.0,1
11,309.18,1,1,Urban,0,Web,Discount,0,309.18,309.18,3400.98,0.0,0.0,1.0,1
1,169.66,0,1,Rural,0,Web,Buy One Get One,1,0.0,169.66,169.66,1.0,0.0,0.0,1
5,413.5,1,0,Urban,0,Multichannel,Buy One Get One,0,413.5,0.0,2067.5,0.0,1.0,0.0,1
4,171.26,0,1,Surburban,1,Web,Buy One Get One,0,0.0,171.26,685.04,0.0,1.0,0.0,1
2,172.18,1,0,Surburban,0,Phone,Discount,0,172.18,0.0,344.36,1.0,0.0,0.0,1
11,151.73,0,1,Urban,0,Web,No Offer,0,0.0,151.73,1669.03,0.0,0.0,1.0,0
7,29.99,1,0,Urban,1,Phone,Discount,0,29.99,0.0,209.92999999999998,0.0,1.0,0.0,1
10,222.71,0,1,Urban,1,Multichannel,No Offer,0,0.0,222.71,2227.1,0.0,0.0,1.0,0
8,526.26,1,1,Surburban,1,Multichannel,No Offer,0,526.26,526.26,4210.08,0.0,0.0,1.0,0
6,356.2,1,1,Rural,0,Web,Buy One Get One,1,356.2,356.2,2137.2,0.0,1.0,0.0,1
7,35.68,1,0,Rural,1,Phone,No Offer,0,35.68,0.0,249.76,0.0,1.0,0.0,0
2,29.99,1,0,Urban,1,Web,No Offer,0,29.99,0.0,59.98,1.0,0.0,0.0,0
9,168.02,0,1,Surburban,0,Phone,No Offer,0,0.0,168.02,1512.18,0.0,0.0,1.0,0
7,133.58,1,0,Surburban,0,Phone,No Offer,0,133.58,0.0,935.0600000000001,0.0,1.0,0.0,0
8,61.46,1,0,Urban,1,Web,Discount,0,61.46,0.0,491.68,0.0,0.0,1.0,1
3,362.58,1,0,Surburban,0,Phone,Buy One Get One,0,362.58,0.0,1087.74,0.0,1.0,0.0,1
2,29.99,0,1,Urban,1,Web,No Offer,1,0.0,29.99,59.98,1.0,0.0,0.0,0
2,569.27,0,1,Urban,1,Web,Discount,0,0.0,569.27,1138.54,1.0,0.0,0.0,1
1,157.35,0,1,Surburban,0,Phone,No Offer,0,0.0,157.35,157.35,1.0,0.0,0.0,0
3,230.61,1,1,Surburban,1,Phone,No Offer,0,230.61,230.61,691.83,0.0,1.0,0.0,0
9,126.04,0,1,Urban,1,Web,No Offer,0,0.0,126.04,1134.3600000000001,0.0,0.0,1.0,0
12,134.01,0,1,Urban,0,Web,Buy One Get One,0,0.0,134.01,1608.12,0.0,0.0,1.0,1
10,40.52,0,1,Surburban,0,Web,Buy One Get One,0,0.0,40.52,405.20000000000005,0.0,0.0,1.0,1
11,33.39,0,1,Rural,1,Phone,Buy One Get One,0,0.0,33.39,367.29,0.0,0.0,1.0,1
9,214.18,1,0,Urban,0,Web,No Offer,0,214.18,0.0,1927.6200000000001,0.0,0.0,1.0,0
1,81.68,0,1,Urban,0,Phone,Buy One Get One,0,0.0,81.68,81.68,1.0,0.0,0.0,1
9,86.21,0,1,Rural,0,Web,Discount,0,0.0,86.21,775.89,0.0,0.0,1.0,1
9,407.24,0,1,Surburban,0,Phone,Buy One Get One,0,0.0,407.24,3665.16,0.0,0.0,1.0,1
8,105.25,0,1,Urban,1,Phone,Buy One Get One,0,0.0,105.25,842.0,0.0,0.0,1.0,1
4,929.49,0,1,Urban,1,Phone,Discount,0,0.0,929.49,3717.96,0.0,1.0,0.0,1
9,995.17,1,0,Urban,1,Web,Buy One Get One,0,995.17,0.0,8956.529999999999,0.0,0.0,1.0,1
2,199.97,0,1,Surburban,0,Phone,Discount,0,0.0,199.97,399.94,1.0,0.0,0.0,1
2,533.13,0,1,Surburban,1,Phone,Discount,1,0.0,533.13,1066.26,1.0,0.0,0.0,1
2,264.08,1,0,Rural,0,Multichannel,Discount,1,264.08,0.0,528.16,1.0,0.0,0.0,1
2,123.8,1,0,Rural,0,Phone,Buy One Get One,0,123.8,0.0,247.6,1.0,0.0,0.0,1
9,295.99,1,1,Surburban,0,Phone,Discount,0,295.99,295.99,2663.91,0.0,0.0,1.0,1
7,140.97,0,1,Urban,0,Phone,No Offer,0,0.0,140.97,986.79,0.0,1.0,0.0,0
9,83.99,1,0,Surburban,1,Phone,Discount,0,83.99,0.0,755.91,0.0,0.0,1.0,1
1,29.99,0,1,Rural,0,Web,No Offer,0,0.0,29.99,29.99,1.0,0.0,0.0,0
10,145.73,0,1,Urban,1,Phone,No Offer,0,0.0,145.73,1457.3,0.0,0.0,1.0,0
6,29.99,1,0,Urban,1,Phone,No Offer,0,29.99,0.0,179.94,0.0,1.0,0.0,0
10,438.73,0,1,Urban,0,Phone,Discount,1,0.0,438.73,4387.3,0.0,0.0,1.0,1
4,974.25,1,0,Urban,1,Multichannel,Buy One Get One,0,974.25,0.0,3897.0,0.0,1.0,0.0,1
10,116.21,0,1,Surburban,0,Web,No Offer,0,0.0,116.21,1162.1,0.0,0.0,1.0,0
10,718.58,0,1,Urban,1,Web,Buy One Get One,0,0.0,718.58,7185.8,0.0,0.0,1.0,1
12,113.19,1,0,Surburban,1,Web,No Offer,0,113.19,0.0,1358.28,0.0,0.0,1.0,0
3,142.47,0,1,Surburban,1,Phone,Discount,0,0.0,142.47,427.40999999999997,0.0,1.0,0.0,1
11,213.08,0,1,Surburban,1,Web,No Offer,1,0.0,213.08,2343.88,0.0,0.0,1.0,0
1,428.99,1,0,Surburban,0,Multichannel,No Offer,0,428.99,0.0,428.99,1.0,0.0,0.0,0
2,395.8,1,0,Urban,0,Web,Buy One Get One,1,395.8,0.0,791.6,1.0,0.0,0.0,1
9,29.99,0,1,Urban,1,Phone,Buy One Get One,0,0.0,29.99,269.90999999999997,0.0,0.0,1.0,1
2,285.27,0,1,Surburban,1,Phone,Buy One Get One,0,0.0,285.27,570.54,1.0,0.0,0.0,1
1,380.93,0,1,Urban,0,Web,No Offer,0,0.0,380.93,380.93,1.0,0.0,0.0,0
11,287.49,1,0,Urban,1,Web,Discount,0,287.49,0.0,3162.3900000000003,0.0,0.0,1.0,1
3,894.47,1,1,Urban,1,Web,Buy One Get One,0,894.47,894.47,2683.41,0.0,1.0,0.0,1
4,879.55,0,1,Surburban,1,Multichannel,No Offer,0,0.0,879.55,3518.2,0.0,1.0,0.0,0
6,250.11,0,1,Surburban,0,Phone,No Offer,1,0.0,250.11,1500.66,0.0,1.0,0.0,0
10,457.72,1,0,Surburban,0,Multichannel,Buy One Get One,0,457.72,0.0,4577.200000000001,0.0,0.0,1.0,1
11,29.99,0,1,Surburban,0,Phone,Discount,1,0.0,29.99,329.89,0.0,0.0,1.0,1
3,53.02,1,0,Urban,0,Phone,Discount,0,53.02,0.0,159.06,0.0,1.0,0.0,1
4,257.6,0,1,Urban,1,Multichannel,No Offer,0,0.0,257.6,1030.4,0.0,1.0,0.0,0
10,182.25,0,1,Urban,1,Phone,No Offer,0,0.0,182.25,1822.5,0.0,0.0,1.0,0
9,393.59,0,1,Urban,0,Web,Buy One Get One,1,0.0,393.59,3542.31,0.0,0.0,1.0,1
1,1148.16,1,1,Urban,1,Phone,Buy One Get One,0,1148.16,1148.16,1148.16,1.0,0.0,0.0,1
2,29.99,1,0,Urban,0,Phone,No Offer,0,29.99,0.0,59.98,1.0,0.0,0.0,0
9,157.99,0,1,Surburban,0,Phone,Discount,1,0.0,157.99,1421.91,0.0,0.0,1.0,1
9,29.99,1,0,Surburban,1,Web,Buy One Get One,0,29.99,0.0,269.90999999999997,0.0,0.0,1.0,1
4,46.94,1,0,Rural,1,Web,No Offer,0,46.94,0.0,187.76,0.0,1.0,0.0,0
3,98.91,0,1,Surburban,1,Web,Discount,0,0.0,98.91,296.73,0.0,1.0,0.0,1
6,593.09,1,1,Surburban,1,Phone,No Offer,0,593.09,593.09,3558.54,0.0,1.0,0.0,0
6,37.82,1,0,Urban,1,Phone,Discount,0,37.82,0.0,226.92000000000002,0.0,1.0,0.0,1
10,35.05,1,0,Surburban,0,Phone,Discount,0,35.05,0.0,350.5,0.0,0.0,1.0,1
5,515.93,0,1,Surburban,1,Multichannel,Discount,0,0.0,515.93,2579.6499999999996,0.0,1.0,0.0,1
1,128.0,1,0,Surburban,1,Phone,No Offer,0,128.0,0.0,128.0,1.0,0.0,0.0,0
1,382.24,1,0,Surburban,1,Web,Buy One Get One,1,382.24,0.0,382.24,1.0,0.0,0.0,1
2,198.87,0,1,Surburban,0,Phone,No Offer,0,0.0,198.87,397.74,1.0,0.0,0.0,0
2,29.99,0,1,Surburban,1,Phone,Buy One Get One,1,0.0,29.99,59.98,1.0,0.0,0.0,1
10,114.82,0,1,Surburban,0,Phone,Buy One Get One,0,0.0,114.82,1148.1999999999998,0.0,0.0,1.0,1
1,740.41,0,1,Surburban,1,Web,Discount,0,0.0,740.41,740.41,1.0,0.0,0.0,1
1,731.39,1,1,Surburban,1,Web,No Offer,0,731.39,731.39,731.39,1.0,0.0,0.0,0
1,46.8,0,1,Urban,1,Web,Discount,0,0.0,46.8,46.8,1.0,0.0,0.0,1
5,193.18,0,1,Urban,0,Phone,No Offer,0,0.0,193.18,965.9000000000001,0.0,1.0,0.0,0
10,463.43,1,0,Urban,0,Multichannel,Discount,0,463.43,0.0,4634.3,0.0,0.0,1.0,1
10,147.95,1,0,Urban,1,Phone,No Offer,0,147.95,0.0,1479.5,0.0,0.0,1.0,0
1,170.16,0,1,Urban,0,Phone,No Offer,1,0.0,170.16,170.16,1.0,0.0,0.0,0
1,397.35,1,1,Surburban,0,Multichannel,No Offer,0,397.35,397.35,397.35,1.0,0.0,0.0,0
8,32.45,1,0,Rural,1,Phone,No Offer,0,32.45,0.0,259.6,0.0,0.0,1.0,0
10,169.05,0,1,Surburban,1,Phone,Buy One Get One,0,0.0,169.05,1690.5,0.0,0.0,1.0,1
1,116.22,0,1,Surburban,0,Phone,Buy One Get One,1,0.0,116.22,116.22,1.0,0.0,0.0,1
10,48.71,1,0,Urban,1,Phone,No Offer,0,48.71,0.0,487.1,0.0,0.0,1.0,0
4,1011.91,1,1,Urban,1,Web,Discount,0,1011.91,1011.91,4047.64,0.0,1.0,0.0,1
1,651.22,0,1,Rural,1,Phone,No Offer,0,0.0,651.22,651.22,1.0,0.0,0.0,0
3,82.61,0,1,Urban,0,Phone,Discount,1,0.0,82.61,247.82999999999998,0.0,1.0,0.0,1
3,165.66,0,1,Surburban,0,Web,No Offer,0,0.0,165.66,496.98,0.0,1.0,0.0,0
2,80.13,1,0,Surburban,1,Phone,No Offer,0,80.13,0.0,160.26,1.0,0.0,0.0,0
9,29.99,0,1,Rural,1,Web,Discount,1,0.0,29.99,269.90999999999997,0.0,0.0,1.0,1
1,86.95,0,1,Surburban,0,Phone,Discount,1,0.0,86.95,86.95,1.0,0.0,0.0,1
6,72.54,0,1,Rural,0,Web,Buy One Get One,0,0.0,72.54,435.24,0.0,1.0,0.0,1
6,29.99,0,1,Urban,1,Phone,Buy One Get One,0,0.0,29.99,179.94,0.0,1.0,0.0,1
5,121.99,0,1,Surburban,1,Web,No Offer,0,0.0,121.99,609.9499999999999,0.0,1.0,0.0,0
4,255.7,1,0,Urban,1,Phone,Discount,1,255.7,0.0,1022.8,0.0,1.0,0.0,1
3,176.22,1,0,Urban,1,Web,Discount,0,176.22,0.0,528.66,0.0,1.0,0.0,1
1,317.65,1,0,Urban,0,Multichannel,Discount,0,317.65,0.0,317.65,1.0,0.0,0.0,1
10,29.99,1,0,Surburban,1,Web,Buy One Get One,0,29.99,0.0,299.9,0.0,0.0,1.0,1
6,29.99,0,1,Urban,0,Phone,Discount,0,0.0,29.99,179.94,0.0,1.0,0.0,1
1,349.83,0,1,Surburban,1,Phone,Discount,0,0.0,349.83,349.83,1.0,0.0,0.0,1
10,408.91,0,1,Urban,0,Web,Discount,0,0.0,408.91,4089.1000000000004,0.0,0.0,1.0,1
3,187.36,1,0,Surburban,0,Web,No Offer,0,187.36,0.0,562.08,0.0,1.0,0.0,0
3,114.65,0,1,Urban,1,Web,Discount,0,0.0,114.65,343.95000000000005,0.0,1.0,0.0,1
1,354.42,0,1,Urban,0,Phone,No Offer,0,0.0,354.42,354.42,1.0,0.0,0.0,0
6,111.27,1,0,Surburban,0,Phone,Discount,0,111.27,0.0,667.62,0.0,1.0,0.0,1
1,226.35,1,0,Surburban,0,Web,Discount,0,226.35,0.0,226.35,1.0,0.0,0.0,1
10,86.47,1,0,Urban,1,Web,Discount,0,86.47,0.0,864.7,0.0,0.0,1.0,1
1,895.43,0,1,Surburban,1,Web,Buy One Get One,0,0.0,895.43,895.43,1.0,0.0,0.0,1
7,353.94,1,0,Surburban,1,Phone,No Offer,0,353.94,0.0,2477.58,0.0,1.0,0.0,0
3,342.64,0,1,Surburban,0,Phone,No Offer,0,0.0,342.64,1027.92,0.0,1.0,0.0,0
1,348.0,1,1,Urban,1,Web,Buy One Get One,0,348.0,348.0,348.0,1.0,0.0,0.0,1
9,29.99,1,0,Surburban,0,Web,Discount,0,29.99,0.0,269.90999999999997,0.0,0.0,1.0,1
10,29.99,1,0,Urban,1,Phone,Discount,0,29.99,0.0,299.9,0.0,0.0,1.0,1
11,55.85,1,0,Urban,0,Web,No Offer,1,55.85,0.0,614.35,0.0,0.0,1.0,0
4,67.53,1,0,Urban,1,Phone,Discount,0,67.53,0.0,270.12,0.0,1.0,0.0,1
4,276.48,1,1,Surburban,0,Multichannel,Discount,0,276.48,276.48,1105.92,0.0,1.0,0.0,1
1,248.63,1,0,Surburban,0,Phone,Buy One Get One,0,248.63,0.0,248.63,1.0,0.0,0.0,1
3,29.99,0,1,Surburban,1,Phone,Discount,0,0.0,29.99,89.97,0.0,1.0,0.0,1
7,29.99,0,1,Surburban,0,Web,Discount,0,0.0,29.99,209.92999999999998,0.0,1.0,0.0,1
9,664.92,1,0,Urban,1,Web,Buy One Get One,0,664.92,0.0,5984.28,0.0,0.0,1.0,1
1,536.81,1,1,Surburban,1,Web,No Offer,0,536.81,536.81,536.81,1.0,0.0,0.0,0
1,214.34,0,1,Surburban,1,Web,Buy One Get One,0,0.0,214.34,214.34,1.0,0.0,0.0,1
11,43.17,1,0,Urban,0,Web,Discount,0,43.17,0.0,474.87,0.0,0.0,1.0,1
7,238.58,1,1,Surburban,1,Phone,No Offer,1,238.58,238.58,1670.0600000000002,0.0,1.0,0.0,0
11,29.99,1,0,Surburban,1,Web,Buy One Get One,0,29.99,0.0,329.89,0.0,0.0,1.0,1
9,144.12,0,1,Urban,1,Phone,Buy One Get One,0,0.0,144.12,1297.08,0.0,0.0,1.0,1
1,547.69,1,1,Rural,1,Multichannel,No Offer,1,547.69,547.69,547.69,1.0,0.0,0.0,0
9,198.42,0,1,Surburban,1,Web,Buy One Get One,0,0.0,198.42,1785.78,0.0,0.0,1.0,1
2,78.5,0,1,Rural,1,Phone,Buy One Get One,0,0.0,78.5,157.0,1.0,0.0,0.0,1
5,122.05,0,1,Rural,0,Web,Buy One Get One,0,0.0,122.05,610.25,0.0,1.0,0.0,1
12,63.28,1,0,Urban,1,Phone,Discount,0,63.28,0.0,759.36,0.0,0.0,1.0,1
4,68.2,1,0,Surburban,1,Web,Buy One Get One,0,68.2,0.0,272.8,0.0,1.0,0.0,1
8,57.85,0,1,Surburban,1,Web,Discount,0,0.0,57.85,462.8,0.0,0.0,1.0,1
9,36.87,1,0,Urban,1,Web,Buy One Get One,0,36.87,0.0,331.83,0.0,0.0,1.0,1
1,29.99,0,1,Surburban,0,Phone,Discount,1,0.0,29.99,29.99,1.0,0.0,0.0,1
10,417.27,0,1,Urban,0,Multichannel,No Offer,0,0.0,417.27,4172.7,0.0,0.0,1.0,0
6,209.47,1,0,Urban,1,Web,No Offer,0,209.47,0.0,1256.82,0.0,1.0,0.0,0
9,126.64,1,0,Surburban,1,Web,No Offer,0,126.64,0.0,1139.76,0.0,0.0,1.0,0
1,983.95,1,0,Urban,1,Multichannel,Buy One Get One,0,983.95,0.0,983.95,1.0,0.0,0.0,1
4,416.86,1,0,Rural,1,Web,Buy One Get One,0,416.86,0.0,1667.44,0.0,1.0,0.0,1
9,350.18,1,0,Urban,1,Phone,No Offer,0,350.18,0.0,3151.62,0.0,0.0,1.0,0
5,134.29,1,0,Surburban,0,Phone,Discount,0,134.29,0.0,671.4499999999999,0.0,1.0,0.0,1
9,365.0,1,1,Urban,0,Web,Buy One Get One,0,365.0,365.0,3285.0,0.0,0.0,1.0,1
1,357.01,1,0,Urban,0,Phone,No Offer,0,357.01,0.0,357.01,1.0,0.0,0.0,0
8,177.43,0,1,Surburban,1,Phone,No Offer,0,0.0,177.43,1419.44,0.0,0.0,1.0,0
10,29.99,0,1,Urban,1,Phone,No Offer,0,0.0,29.99,299.9,0.0,0.0,1.0,0
5,250.74,0,1,Surburban,0,Phone,Buy One Get One,0,0.0,250.74,1253.7,0.0,1.0,0.0,1
3,111.04,0,1,Urban,0,Phone,Discount,0,0.0,111.04,333.12,0.0,1.0,0.0,1
1,474.5,0,1,Surburban,0,Phone,Discount,0,0.0,474.5,474.5,1.0,0.0,0.0,1
10,122.79,1,0,Rural,1,Phone,Discount,0,122.79,0.0,1227.9,0.0,0.0,1.0,1
8,61.84,0,1,Surburban,1,Phone,Discount,0,0.0,61.84,494.72,0.0,0.0,1.0,1
5,127.59,0,1,Surburban,1,Web,Buy One Get One,0,0.0,127.59,637.95,0.0,1.0,0.0,1
1,519.9,0,1,Urban,1,Multichannel,No Offer,1,0.0,519.9,519.9,1.0,0.0,0.0,0
7,481.76,1,0,Urban,0,Phone,Discount,1,481.76,0.0,3372.3199999999997,0.0,1.0,0.0,1
9,659.09,0,1,Urban,1,Phone,No Offer,0,0.0,659.09,5931.81,0.0,0.0,1.0,0
7,30.37,0,1,Surburban,0,Phone,No Offer,0,0.0,30.37,212.59,0.0,1.0,0.0,0
6,274.9,0,1,Surburban,1,Multichannel,No Offer,0,0.0,274.9,1649.3999999999999,0.0,1.0,0.0,0
10,184.02,0,1,Urban,0,Web,Discount,0,0.0,184.02,1840.2,0.0,0.0,1.0,1
3,325.18,1,0,Urban,0,Web,No Offer,0,325.18,0.0,975.54,0.0,1.0,0.0,0
9,139.38,1,0,Rural,0,Phone,No Offer,0,139.38,0.0,1254.42,0.0,0.0,1.0,0
10,435.66,0,1,Surburban,0,Web,Buy One Get One,1,0.0,435.66,4356.6,0.0,0.0,1.0,1
2,871.53,0,1,Rural,1,Multichannel,Buy One Get One,1,0.0,871.53,1743.06,1.0,0.0,0.0,1
2,657.55,1,0,Surburban,1,Phone,Discount,0,657.55,0.0,1315.1,1.0,0.0,0.0,1
10,52.59,0,1,Urban,1,Web,Buy One Get One,0,0.0,52.59,525.9000000000001,0.0,0.0,1.0,1
5,29.99,0,1,Urban,0,Web,Discount,0,0.0,29.99,149.95,0.0,1.0,0.0,1
10,117.11,1,0,Surburban,1,Web,Buy One Get One,0,117.11,0.0,1171.1,0.0,0.0,1.0,1
8,290.75,1,1,Surburban,1,Phone,Discount,0,290.75,290.75,2326.0,0.0,0.0,1.0,1
8,235.29,1,0,Surburban,0,Web,Discount,0,235.29,0.0,1882.32,0.0,0.0,1.0,1
7,1194.15,0,1,Urban,1,Multichannel,Discount,0,0.0,1194.15,8359.050000000001,0.0,1.0,0.0,1
7,481.56,1,0,Surburban,0,Web,Discount,0,481.56,0.0,3370.92,0.0,1.0,0.0,1
1,780.21,0,1,Surburban,1,Web,Discount,1,0.0,780.21,780.21,1.0,0.0,0.0,1
6,60.63,1,0,Rural,0,Phone,Buy One Get One,0,60.63,0.0,363.78000000000003,0.0,1.0,0.0,1
9,39.68,0,1,Surburban,1,Phone,No Offer,0,0.0,39.68,357.12,0.0,0.0,1.0,0
12,172.03,0,1,Surburban,1,Web,No Offer,0,0.0,172.03,2064.36,0.0,0.0,1.0,0
5,377.0,1,0,Urban,1,Web,No Offer,0,377.0,0.0,1885.0,0.0,1.0,0.0,0
5,238.43,1,1,Urban,1,Multichannel,No Offer,0,238.43,238.43,1192.15,0.0,1.0,0.0,0
6,97.61,1,0,Rural,0,Web,Discount,1,97.61,0.0,585.66,0.0,1.0,0.0,1
1,29.99,0,1,Surburban,0,Phone,No Offer,0,0.0,29.99,29.99,1.0,0.0,0.0,0
4,37.69,0,1,Urban,1,Web,No Offer,0,0.0,37.69,150.76,0.0,1.0,0.0,0
8,1171.63,0,1,Surburban,1,Phone,No Offer,0,0.0,1171.63,9373.04,0.0,0.0,1.0,0
10,266.73,0,1,Surburban,1,Web,No Offer,0,0.0,266.73,2667.3,0.0,0.0,1.0,0
1,170.04,0,1,Rural,0,Phone,Discount,0,0.0,170.04,170.04,1.0,0.0,0.0,1
6,67.41,0,1,Urban,0,Phone,Buy One Get One,1,0.0,67.41,404.46,0.0,1.0,0.0,1
10,395.8,0,1,Urban,0,Web,No Offer,0,0.0,395.8,3958.0,0.0,0.0,1.0,0
11,97.14,0,1,Urban,0,Phone,Discount,0,0.0,97.14,1068.54,0.0,0.0,1.0,1
10,847.34,1,0,Urban,1,Phone,Discount,1,847.34,0.0,8473.4,0.0,0.0,1.0,1
1,231.74,0,1,Surburban,0,Web,Discount,0,0.0,231.74,231.74,1.0,0.0,0.0,1
10,97.28,1,0,Surburban,1,Web,Discount,0,97.28,0.0,972.8,0.0,0.0,1.0,1
4,859.85,0,1,Urban,1,Web,Buy One Get One,0,0.0,859.85,3439.4,0.0,1.0,0.0,1
3,284.41,0,1,Urban,1,Phone,Discount,1,0.0,284.41,853.23,0.0,1.0,0.0,1
5,29.99,1,0,Surburban,1,Web,Buy One Get One,0,29.99,0.0,149.95,0.0,1.0,0.0,1
1,29.99,0,1,Surburban,1,Web,Discount,0,0.0,29.99,29.99,1.0,0.0,0.0,1
9,29.99,0,1,Surburban,1,Web,Discount,0,0.0,29.99,269.90999999999997,0.0,0.0,1.0,1
9,155.39,0,1,Rural,0,Web,Discount,0,0.0,155.39,1398.5099999999998,0.0,0.0,1.0,1
3,40.22,1,0,Urban,1,Web,Buy One Get One,0,40.22,0.0,120.66,0.0,1.0,0.0,1
10,33.41,1,0,Urban,0,Web,No Offer,0,33.41,0.0,334.09999999999997,0.0,0.0,1.0,0
2,227.67,1,1,Surburban,1,Web,Discount,1,227.67,227.67,455.34,1.0,0.0,0.0,1
1,243.72,1,0,Urban,1,Multichannel,Discount,0,243.72,0.0,243.72,1.0,0.0,0.0,1
1,126.67,1,0,Surburban,1,Web,No Offer,0,126.67,0.0,126.67,1.0,0.0,0.0,0
7,53.06,1,0,Rural,1,Web,Discount,0,53.06,0.0,371.42,0.0,1.0,0.0,1
1,79.03,0,1,Surburban,0,Phone,Buy One Get One,0,0.0,79.03,79.03,1.0,0.0,0.0,1
10,29.99,0,1,Rural,1,Phone,Discount,0,0.0,29.99,299.9,0.0,0.0,1.0,1
1,281.07,1,1,Urban,0,Web,No Offer,0,281.07,281.07,281.07,1.0,0.0,0.0,0
11,136.56,1,0,Surburban,0,Web,No Offer,0,136.56,0.0,1502.16,0.0,0.0,1.0,0
1,1466.51,1,1,Surburban,1,Multichannel,No Offer,0,1466.51,1466.51,1466.51,1.0,0.0,0.0,0
3,213.96,1,0,Urban,0,Web,Discount,1,213.96,0.0,641.88,0.0,1.0,0.0,1
6,475.2,1,0,Urban,1,Multichannel,Buy One Get One,0,475.2,0.0,2851.2,0.0,1.0,0.0,1
9,29.99,1,0,Surburban,1,Web,Discount,0,29.99,0.0,269.90999999999997,0.0,0.0,1.0,1
5,144.96,0,1,Urban,0,Web,No Offer,0,0.0,144.96,724.8000000000001,0.0,1.0,0.0,0
6,33.14,0,1,Urban,1,Phone,Buy One Get One,0,0.0,33.14,198.84,0.0,1.0,0.0,1
4,438.7,0,1,Surburban,0,Phone,Discount,0,0.0,438.7,1754.8,0.0,1.0,0.0,1
11,359.67,1,0,Surburban,0,Web,Buy One Get One,1,359.67,0.0,3956.3700000000003,0.0,0.0,1.0,1
3,59.17,0,1,Surburban,1,Phone,No Offer,0,0.0,59.17,177.51,0.0,1.0,0.0,0
9,236.86,1,1,Surburban,1,Multichannel,Buy One Get One,0,236.86,236.86,2131.7400000000002,0.0,0.0,1.0,1
11,50.71,0,1,Urban,1,Web,Buy One Get One,0,0.0,50.71,557.8100000000001,0.0,0.0,1.0,1
4,246.71,1,0,Urban,1,Web,Buy One Get One,1,246.71,0.0,986.84,0.0,1.0,0.0,1
10,341.7,1,0,Surburban,0,Multichannel,Buy One Get One,0,341.7,0.0,3417.0,0.0,0.0,1.0,1
4,216.76,0,1,Urban,0,Multichannel,No Offer,0,0.0,216.76,867.04,0.0,1.0,0.0,0
5,349.11,1,1,Urban,0,Web,No Offer,0,349.11,349.11,1745.5500000000002,0.0,1.0,0.0,0
6,188.24,1,0,Urban,0,Phone,Buy One Get One,0,188.24,0.0,1129.44,0.0,1.0,0.0,1
4,29.99,1,0,Rural,0,Phone,Buy One Get One,0,29.99,0.0,119.96,0.0,1.0,0.0,1
